NO.	CORPUS.FILE	ITEM	POS	POS_BROAD	contextual_meaning	basic_meaning	METAPHOR	MUSIC_TARGET.DOMAIN	SD	CONCEPTUAL_METAPHOR_BASIS	DEICTIC_EGO	Context	comment
30	18thM10-7.1_0662a_Haydn	at	PRP	PRP	MM has the phrase „at someone's best“; 1d_in a particular part of a process, activity, programme, or book; 2b_used for stating what state or situation someone or something is in	MM1a_1. Used for stating where someone or something is. 1. a. in a particular place	MRW-indirect	no					
31	18thM10-7.1_0662a_Haydn	his	DPS	DT0	MM1_used for showing that something belongs to or is connected with a man, boy, or male animal that has already been mentioned	same	no	no					
32	18thM10-7.1_0662a_Haydn	best	AJS	AJ0	MMphrase_when someone is feeling most intelligent or effective, or when something is showing its most impressive or attractive qualities	MM1 (only has this)_the best. the person or thing that is the most satisfactory, suitable, pleasant, effective, of the highest quality etc	no	no					
33	18thM10-7.1_0662a_Haydn	,_PUN	PUN	PUN			DFMA_Punct	no					
34	18thM10-7.1_0662a_Haydn	others	NN2	NN0	MM2_used for referring to a different person or thing from the one already mentioned or known about	MM1_used for referring to additional people or things of the type already mentioned or known about	no	no					
35	18thM10-7.1_0662a_Haydn	fashionable	AJ0	AJ0	MM1_popular at a particular time	same	no	no					
36	18thM10-7.1_0662a_Haydn	doggerel	NN1	NN0	bad poetry, or poetry that is intended to be funny rather than serious	same	no	no					
37	18thM10-7.1_0662a_Haydn	of	PRF	PRP	LM13_ used when referring to the day, moment etc when something happened: 	MM4_used for saying who something belongs to, MM6_part of, MM1_feature	no	no					
38	18thM10-7.1_0662a_Haydn	the	AT0	AT0	MM1_used when you are referring to a particular thing or person that has already been mentioned or is already known about	same	no	no					
39	18thM10-7.1_0662a_Haydn	time	NN1	NN0	MM2a_[often plural] a period in history	MM1_[uncountable] the quantity that you measure using a clock	no	no					
40	18thM10-7.1_0662a_Haydn	)_PUR	PUR	PUN			DFMA_Punct	no					
41	18thM10-7.1_0662a_Haydn	varies	VVZ	VV	MM1_[intransitive] to be different in different situations	same	no	no					
42	18thM10-7.1_0662a_Haydn	as	AV0	AV0	MM3_used for saying that something happens or is done in the same way	MM1_used for showing comparison	no	no					
43	18thM10-7.1_0662a_Haydn	well	AV0	AV0	as well. in addition to something or someone else	MM1_in a skilful or effective way	no	no					
44	18thM10-7.1_0662a_Haydn	._SENT	SENT	PUN			DFMA_Punct	no					
45	18thM10-7.1_0662a_Haydn	-----_PUN	PUN	PUN			DFMA_Punct	no					
46	18thM10-7.1_0662a_Haydn	Such	DT0	DT0	MM3_used for saying that a particular type of situation, behaviour, action etc causes the result that you are mentioning	MM1_of the type that is being mentioned	no	no					
47	18thM10-7.1_0662a_Haydn	disparity	NN1	NN0	a difference between things	same	no	no					
48	18thM10-7.1_0662a_Haydn	raises	VVZ	VV	MM4_to mention something so that it can be discussed	MM1_to put something in a higher place or position	MRW-indirect	no					
49	18thM10-7.1_0662a_Haydn	the	AT0	AT0	MM1_used when you are referring to a particular thing or person that has already been mentioned or is already known about	same	no	no					
50	18thM10-7.1_0662a_Haydn	issue	NN1	NN0	MM1a_a problem that needs to be considered; MM1_ [countable] a subject that people discuss or argue about, especially relating to society, politics etc	MM2_[countable] a magazine that is published at a particular time	no	no					
51	18thM10-7.1_0662a_Haydn	that	CJT	CJC	MM6a_used for introducing what someone says, thinks, believes etc	LM1_used after verbs, nouns, and adjectives to introduce a clause which shows what someone says or thinks, or states a fact or reason: 	no	no					
52	18thM10-7.1_0662a_Haydn	there	EX0	EX0	MM1_used for introducing a statement about someone that exists or something that happens	same; spatial meaning is only for the adverb sense of „there“	no	no					
53	18thM10-7.1_0662a_Haydn	are	VBB	VV	MM5_[intransitive] formal to exist	same	no	no					
54	18thM10-7.1_0662a_Haydn	in	PRP	PRP	MM7_used for describing a particular state, situation, or relationship	MM1_used for showing where someone or something is	MRW-indirect	no					
55	18thM10-7.1_0662a_Haydn	fact	NN1	NN0	MM has the phrase_used for saying what is really true, when this is surprising or different from what people think	same	no	no					
56	18thM10-7.1_0662a_Haydn	several	DT0	DT0	MM2_[only before noun] literary various, or separate	MM1_a number of people or things that is more than two or three, but not many	no	no					
57	18thM10-7.1_0662a_Haydn	ways	NN2	NN0	MM1_a method for doing something	MM3_the particular road, path, or track that you use to go from one place to another	MRW-indirect	no					
58	18thM10-7.1_0662a_Haydn	to	TO0	TO0	MM1_used as part of an infinitive	There is no more basic meaning	no	no					
59	18thM10-7.1_0662a_Haydn	listen	VVI	VV	MM1_to pay attention to a sound, or to try to hear a sound	There is no more basic meaning	no	no					
60	18thM10-7.1_0662a_Haydn	to	PRP	PRP	MM3_used for saying who is told, given, or shown something	MM2_going somewhere	MRW-indirect	no					
61	18thM10-7.1_0662a_Haydn	these	DT0	DT0	MM1_used when you are referring to a particular person, thing, fact etc that has just been mentioned, or when it is obvious which one you are referring to	MM3_the one that is here	MRW-indirect	no					
62	18thM10-7.1_0662a_Haydn	songs	NN2	NN0	MM1_[countable] a piece of music with words that you sing	There is no more basic meaning	no	yes					
63	18thM10-7.1_0662a_Haydn	._SENT	SENT	PUN			DFMA_Punct	no					
64	18thM10-7.1_0662a_Haydn	-----_PUN	PUN	PUN			DFMA_Punct	no					
65	18thM10-7.1_0662a_Haydn	They	PNP	PNP	MM1_used for referring to a group of people or things that have already been mentioned or that are already known about	There is no more basic meaning	no	yes					
66	18thM10-7.1_0662a_Haydn	can	VM0	VV	MM2_used for saying what is possible	MM1_have the ability or means to do something	no	no					
67	18thM10-7.1_0662a_Haydn	be	VBI	VV	aux_passive	There is no more basic meaning	no	no					
68	18thM10-7.1_0662a_Haydn	seen	VVN	VV	MM5_to consider someone or something in a particular way	MM1_to notice someone or something using your eyes	MRW-indirect	no					
69	18thM10-7.1_0662a_Haydn	as	CJS	CJC	MM5_used for saying that someone or something is considered or described in a particular way	MM1_used for showing comparison	no	no					
70	18thM10-7.1_0662a_Haydn	arrangements	NN2	NN0	MM4_music a piece of music that has been changed for a particular type of voice or instrument	MM3a_the way that things are arranged in a particular order or pattern; LM4_position	no	yes					
71	18thM10-7.1_0662a_Haydn	,_PUN	PUN	PUN			DFMA_Punct	no					
72	18thM10-7.1_0662a_Haydn	in	PRP	PRP	MM7_used for describing a particular state, situation, or relationship	MM1_used for showing where someone or something is	MRW-indirect	no					
73	18thM10-7.1_0662a_Haydn	which	DTQ	DT0	MM3_used for adding information or a comment about a particular thing or fact when it is already clear what that thing or fact is („in which case“ mentioned among examples)	all meanings are equally basic	no	no					
74	18thM10-7.1_0662a_Haydn	case	VVB	VV	MM2_a situation or set of conditions, especially one involving a particular person or thing	MM3_a container or cover for keeping or protecting something	no	no					
75	18thM10-7.1_0662a_Haydn	the	AT0	AT0	MM1_used when you are referring to a particular thing or person that has already been mentioned or is already known about	same	no	no					
76	18thM10-7.1_0662a_Haydn	interest	NN1	NN0	MM2_[UNCOUNTABLE] the quality that something has that makes you notice it and want to know about it or take part in it	(MM3_[COUNTABLE] [OFTEN PLURAL] an activity that you enjoy doing when you are not working); MM1_[SINGULAR/UNCOUNTABLE] a feeling of wanting to know about or take part in something	no	no					
77	18thM10-7.1_0662a_Haydn	can	VM0	VV	MM2_used for saying what is possible	MM1_have the ability or means to do something	no	no					
78	18thM10-7.1_0662a_Haydn	be	VBI	VV	MM5_to exist	There is no more basic meaning	no	no					
79	18thM10-7.1_0662a_Haydn	in	PRP	PRP	? MM6_used for saying areas of activity (ich: but „activity“ is wrong); 	MM1_used for showing where someone or something is	MRW-indirect	no				in which case the interest can be in the often very striking and beautiful melodies	
80	18thM10-7.1_0662a_Haydn	the	AT0	AT0	MM1_used when you are referring to a particular thing or person that has already been mentioned or is already known about	same	no	no					
81	18thM10-7.1_0662a_Haydn	often	AV0	AV0	MM1_on many occasions, or in many situations	There is no more basic meaning	no	no					
82	18thM10-7.1_0662a_Haydn	very	AV0	AV0	MM1_used for emphasizing that a quality exists or is true to a great degree	There is no more basic meaning	no	no					
83	18thM10-7.1_0662a_Haydn	striking	AJ0	AJ0	attracting your interest or attention because of some unusual feature	same	no	no					
84	18thM10-7.1_0662a_Haydn	and	CJC	CJC	MM1_connecting	MM1_connecting	no	no					
85	18thM10-7.1_0662a_Haydn	beautiful	AJ0	AJ0	MM2_very pleasant or MM3_done or made very well or with a lot of skill	MM1a_something that is beautiful is very pleasant to look at	no	no					
86	18thM10-7.1_0662a_Haydn	melodies	NN2	NN0	MM1_a tune or song, especially a simple one	There is no more basic meaning	no	yes					
87	18thM10-7.1_0662a_Haydn	themselves	PNX	PNP	reflexive pronoun	reflexive pronoun	no	no					
88	18thM10-7.1_0662a_Haydn	or	CJC	CJC	MM1_used for connecting possibilities or choices. In a list, ‘or’ is usually used only before the last possibility or choice	There is no more basic meaning	no	no					
89	18thM10-7.1_0662a_Haydn	in	PRP	PRP	? MM6_used for saying areas of activity (ich: but „activity“ is wrong); 	MM1_used for showing where someone or something is	MRW-indirect	no				the interest can be in the often very striking and beautiful melodies themselves or in the instrumentation and harmonic choices in the accompaniments	
90	18thM10-7.1_0662a_Haydn	the	AT0	AT0	MM1_used when you are referring to a particular thing or person that has already been mentioned or is already known about	same	no	no					
91	18thM10-7.1_0662a_Haydn	instrumentation	NN1	NN0	MM2_the way that a piece of music is arranged for a group of instruments	MM1_a set of instruments and controls used for operating a machine	no	yes					
92	18thM10-7.1_0662a_Haydn	and	CJC	CJC	MM1_connecting	MM1_connecting	no	no					
93	18thM10-7.1_0662a_Haydn	harmonic	AJ0	AJ0	relating to the way that musical notes are combined to create chords	There is no more basic meaning	no	yes					
94	18thM10-7.1_0662a_Haydn	choices	NN2	NN0	MM2_a decision to choose someone or something	MM1_the opportunity or right to choose between different things	no	no					
95	18thM10-7.1_0662a_Haydn	in	PRP	PRP	MM1e_at a specific part of something	MM1_used for showing where someone or something is	MRW-indirect	no				the interest can be in the often very striking and beautiful melodies themselves or in the instrumentation and harmonic choices in the accompaniments	
96	18thM10-7.1_0662a_Haydn	the	AT0	AT0	MM1_used when you are referring to a particular thing or person that has already been mentioned or is already known about	same	no	no					
97	18thM10-7.1_0662a_Haydn	accompaniments	NN2	NN0	MM1_the part of a piece of music that supports the tune or someone singing	?MM2_something that you provide as a good addition, especially to a particular meal	no	yes					
98	18thM10-7.1_0662a_Haydn	including	PRP	PRP	here: something is part of what makes the accompaniment interesting	MM_used for mentioning that someone or something is part of a particular group or amount	no	no					
99	18thM10-7.1_0662a_Haydn	the	AT0	AT0	MM1_used when you are referring to a particular thing or person that has already been mentioned or is already known about	same	no	no					
100	18thM10-7.1_0662a_Haydn	way	NN1	NN0	MM1_a method for doing something	MM3_the particular road, path, or track that you use to go from one place to another	MRW-indirect	no					
101	18thM10-7.1_0662a_Haydn	that	CJT	CJC	MM6a_used for introducing what someone says, thinks, believes etc	LM1_used after verbs, nouns, and adjectives to introduce a clause which shows what someone says or thinks, or states a fact or reason: 	no	no					
102	18thM10-7.1_0662a_Haydn	Haydn	NP0	NN0	proper name		no	no					
103	18thM10-7.1_0662a_Haydn	treated	VVD	VV	MM2_to deal with something in a particular way	MM1_to behave towards someone in a particular way	MRW-indirect	yes	physical structure			including the way that Haydn treated typical modal features of the Scottish melodies.	
104	18thM10-7.1_0662a_Haydn	typical	AJ0	AJ0	MM1_like most people or things of the same type	There is no more basic meaning	no	no					
105	18thM10-7.1_0662a_Haydn	modal_AJ0	AJ0	AJ0	MM does not have musical meaning; LM2_related to or written in a musical mode; MD_Having to do with modes; this term is applied most particularly to music that is based upon the Gregorian modes, rather than to music based upon the major, minor, or any other scale.; MD“mode“_A series of notes into which the octave is divided according to specific systems. These systems or modes are used as the basis for composing music. The major and minor scales are modes, as well as the gypsy scale, the Gregorian modes, rhythmic modes, etc.	?MM_relating to the mood of a verb (=one of the sets of verb forms that shows whether the action is a fact, an order, a wish etc)LM1_[only before noun] modal meanings are concerned with the attitude of the speaker to the hearer or to what is being said	no	yes					
106	18thM10-7.1_0662a_Haydn	features	NN2	NN0	MM1_an important part or aspect of something	MM2_a part of your face such as your eyes, nose, or mouth	MRW-indirect	yes	HUMAN				
107	18thM10-7.1_0662a_Haydn	of	PRF	PRP	MM1_feature, aspect, quality; LM3_used when talking about a feature or quality that something has: 	MM4_used for saying who something belongs to, MM6_part of, MM1_feature	no	no					
108	18thM10-7.1_0662a_Haydn	the	AT0	AT0	MM1_used when you are referring to a particular thing or person that has already been mentioned or is already known about	same	no	no					
109	18thM10-7.1_0662a_Haydn	Scottish	AJ0	AJ0	MM_relating to Scotland, its people, or its culture	There is no more basic meaning	no	no					
110	18thM10-7.1_0662a_Haydn	melodies	NN2	NN0	MM1_a tune or song, especially a simple one	There is no more basic meaning	no	yes					
111	18thM10-7.1_0662a_Haydn	._SENT	SENT	PUN			DFMA_Punct	no					
112	18thM10-7.1_0662a_Haydn	-----_PUN	PUN	PUN			DFMA_Punct	no					
113	18thM10-7.1_0662a_Haydn	The	AT0	AT0	MM1_used when you are referring to a particular thing or person that has already been mentioned or is already known about	same	no	no					
114	18thM10-7.1_0662a_Haydn	repertory	NN1	NN0	not in the dictinaries; „a set of songs of this composition“; 	MM1_ a system used by theatres in which a group of actors regularly perform different plays during a particular period of time; MM2_ „repertoire“_ all the songs, pieces of music etc that a performer knows and is able to perform; MD_An ensemble that presents several different compositions in the course of a season	no	yes					
115	18thM10-7.1_0662a_Haydn	can	VM0	VV	MM2_used for saying what is possible	MM1_have the ability or means to do something	no	no					
116	18thM10-7.1_0662a_Haydn	also	AV0	AV0	MM1_used for adding another fact or idea to what you have already said	There is no more basic meaning	no	no					
117	18thM10-7.1_0662a_Haydn	be	VBI	VV	aux_passive		no	no					
118	18thM10-7.1_0662a_Haydn	seen	VVN	VV	MM5_to consider someone or something in a particular way	MM1_to notice someone or something using your eyes	MRW-indirect	no					
119	18thM10-7.1_0662a_Haydn	as	PRP	PRP	MM5_used for saying that someone or something is considered or described in a particular way	MM1_used for showing comparison	no	no					
120	18thM10-7.1_0662a_Haydn	a	AT0	AT0	indef article	indef article	no	no					
121	18thM10-7.1_0662a_Haydn	series	NN0	NN0	MM1_a set of similar things that follow one after another	There is no more basic meaning	no	no					
122	18thM10-7.1_0662a_Haydn	of	PRF	PRP	saying which specific thing	MM4_used for saying who something belongs to, MM6_part of, MM1_feature	no	no					
123	18thM10-7.1_0662a_Haydn	chamber music	NN1	NN0	compound		no	yes					
124	18thM10-7.1_0662a_Haydn	miniatures	NN2	NN0	kind of like 3rd part of the compound; musical meaning is not in MM, LM or music dictionary, music cannot be spacially smaller	MM_much smaller than things of the same kind	MRW-indirect	yes	physical structure			The repertory can also be seen as a series of chamber music miniatures	
125	18thM10-7.1_0662a_Haydn	._SENT	SENT	PUN			DFMA_Punct	no					
126	18thM10-7.1_0662a_Haydn	-----_PUN	PUN	PUN			DFMA_Punct	no					
127	18thM10-7.1_0662a_Haydn	Or	CJC	CJC	MM5_used for introducing a comment that corrects or adds more information to what you have just said	There is no more basic meaning	no	no					
128	18thM10-7.1_0662a_Haydn	Haydns	NP0	NN0	proper name	proper name	no	no					
129	18thM10-7.1_0662a_Haydn	work	NN1	NN0	MM4a_something produced by a writer, painter, musician, or other artist	MM1_activity that involves physical or mental effort	no	yes					
130	18thM10-7.1_0662a_Haydn	can	VM0	VV	MM2_used for saying what is possible	MM1_have the ability or means to do something	no	no					
131	18thM10-7.1_0662a_Haydn	be	VBI	VV	aux_passive	aux_passive	no	no					
132	18thM10-7.1_0662a_Haydn	considered	VVN	VV	MM3_to have a particular opinion about someone or something	There is no more basic meaning	no	no					
133	18thM10-7.1_0662a_Haydn	as	PRP	PRP	MM5_used for saying that someone or something is considered or described in a particular way	MM1_used for showing comparison	no	no					
134	18thM10-7.1_0662a_Haydn	lieder_UNC	NN1	NN0	only in music dict_Term referring to a German song of any era, but most commonly to those of the Romantic era. The lied (plural = Lieder) has been in existence since the 15th century and has undergone many changes of form. The Lieder of the Romantic era are characterized by their expressive emotion and the prominent piano accompaniment.	There is no more basic meaning	no	yes					
135	18thM10-7.1_0662a_Haydn	,_PUN	PUN	PUN			DFMA_Punct	no					
136	18thM10-7.1_0662a_Haydn	focusing_VVG	VVG	VV	MM1_to concentrate on something and pay particular attention to it	MM2_to turn a part on a camera, telescope, microscope etc until you can see something clearly	MRW-indirect	no					
137	18thM10-7.1_0662a_Haydn	on_PRP	PRP	PRP	MM10_concerning a particular subject	MM1_touching a surface or an object	MRW-indirect	no					
138	18thM10-7.1_0662a_Haydn	the_AT0	AT0	AT0	def article		no	no					
139	18thM10-7.1_0662a_Haydn	text	NN1	NN0	compound is only in music dictionary; b) MM1_the part of a book, magazine, or computer document that consists of writing and does not include pictures or notes	There is no more basic meaning	no	yes					
140	18thM10-7.1_0662a_Haydn	setting_NN1	NN1	NN0	MM6_a piece of music added to words, especially to the words of a poem	MM1_the place where someone or something is, and all the things, people, or emotions that are part of that place	MRW-indirect	yes	physical structure			Or Haydn’s work can be considered as lieder, focusing on the text setting,	
141	18thM10-7.1_0662a_Haydn	,_PUN	PUN	PUN			DFMA_Punct	no					
142	18thM10-7.1_0662a_Haydn	though	CJS	CJC	MM2_used for introducing a statement that makes what you have just said seem less true or less likely	There is no more basic meaning	no	no					
143	18thM10-7.1_0662a_Haydn	this	DT0	DT0	MM1_used when you are referring to a particular person, thing, fact etc that has just been mentioned, or when it is obvious which one you are referring to	MM3_the one that is here	MRW-indirect	no					
144	18thM10-7.1_0662a_Haydn	last	ORD	ORD	MM2_happening or coming at the end after all the others	There is no more basic meaning	no	no					
145	18thM10-7.1_0662a_Haydn	approach	NN1	NN0	MM1_a particular way of thinking about or dealing with something	MM3_a path or road that leads to a place	MRW-indirect	no					
146	18thM10-7.1_0662a_Haydn	raises	VVZ	VV	MM4_to mention something so that it can be discussed	MM1_to put something in a higher place or position	MRW-indirect	no					
147	18thM10-7.1_0662a_Haydn	the	AT0	AT0	def article		no	no					
148	18thM10-7.1_0662a_Haydn	most	DT0	DT0	MM3_the largest amount	the largest part of something, or the majority of people or things	no	no					
149	18thM10-7.1_0662a_Haydn	questions	NN2	NN0	MM3_a feeling of doubt about something	MM1_something that someone asks you when they want information	no	no					
150	18thM10-7.1_0662a_Haydn	._SENT	SENT	PUN			DFMA_Punct	no					
151	18thM10-7.1_0662a_Haydn	-----_PUN	PUN	PUN			DFMA_Punct	no					
152	18thM10-7.1_0662a_Haydn	By	PRP	PRP	hard to say... MM9_according to rules or laws; LM9_according to a particular rule, method, or way of doing things	MM1_used for saying who or what does something	no	no					
153	18thM10-7.1_0662a_Haydn	nature	NN1	NN0	MM2_a basic quality or feature of something (has „by nature“ among its examples)	MM1_the physical world including all living things as well as the land and the seas	MRW-indirect	yes	HUMAN			By nature the songs are all completely strophic	
154	18thM10-7.1_0662a_Haydn	the	AT0	AT0	def article		no	no					
155	18thM10-7.1_0662a_Haydn	songs	NN2	NN0	MM1_a piece of music with words that you sing	There is no more basic meaning	no	yes					
156	18thM10-7.1_0662a_Haydn	are	VBB	VV	MM3_used for giving information about someone or something, by giving their name, job, position etc, describing them, or saying where they are	There is no more basic meaning	no	no					
157	18thM10-7.1_0662a_Haydn	all	DT0	DT0	MM1_the whole of something	There is no more basic meaning	no	no					
158	18thM10-7.1_0662a_Haydn	completely	AV0	AV0	MM 2_if something is done completely, every part of it is done	There is no more basic meaning	no	no					
159	18thM10-7.1_0662a_Haydn	strophic	AJ0	AJ0	only MD has it, „strophic form“_Song structure in which every verse (strophe) of the text is sung to the same musical tune.	There is no more basic meaning	no	yes					
160	18thM10-7.1_0662a_Haydn	,_PUN	PUN	PUN			DFMA_Punct	no					
161	18thM10-7.1_0662a_Haydn	and	CJC	CJC	connecting	There is no more basic meaning	no	no					
162	18thM10-7.1_0662a_Haydn	as	CJS	CJC	MM5_used for saying that someone or something is considered or described in a particular way	MM1_used for showing comparison	no	no					
163	18thM10-7.1_0662a_Haydn	text(-settings)	NN1	NN0	compound is only in music dictionary; b) MM1_the part of a book, magazine, or computer document that consists of writing and does not include pictures or notes	There is no more basic meaning	no	yes					
164	18thM10-7.1_0662a_Haydn	settings	NN2	NN0	MM6_a piece of music added to words, especially to the words of a poem	MM1_the place where someone or something is, and all the things, people, or emotions that are part of that place	MRW-indirect	yes	physical structure			and as text-settings, the accompaniments often suffer from the fact that Haydn did not have the texts to hand when he set the melodies	
165	18thM10-7.1_0662a_Haydn	,_PUN	PUN	PUN			DFMA_Punct	no					
166	18thM10-7.1_0662a_Haydn	the	AT0	AT0	def article		no	no					
167	18thM10-7.1_0662a_Haydn	accompaniments	NN2	NN0	MM1_the part of a piece of music that supports the tune or someone singing	?MM2_something that you provide as a good addition, especially to a particular meal	no	yes					
168	18thM10-7.1_0662a_Haydn	often	AV0	AV0	MM1_on many occasions, or in many situations	There is no more basic meaning	no	no					
169	18thM10-7.1_0662a_Haydn	suffer	VVB	VV	MM2a_to be badly affected by a very difficult or unpleasant situation	MM1_to feel pain in your body or your mind	MRW-indirect	yes	HUMAN			 the accompaniments often suffer from the fact that Haydn did not have the texts to hand when he set the melodies.	
170	18thM10-7.1_0662a_Haydn	from	PRP	PRP	MM6_because of something	MM2_used for stating someone’s/something’s origin	MRW-indirect	yes	HUMAN			the accompaniments often suffer from the fact that Haydn	
171	18thM10-7.1_0662a_Haydn	the	AT0	AT0	def article		no	no					
172	18thM10-7.1_0662a_Haydn	fact	NN1	NN0	MM1_a piece of true information	There is no more basic meaning	no	no					
173	18thM10-7.1_0662a_Haydn	that	CJT	CJC	LM3_used to introduce a clause that refers to a fact, when describing it	LM1_used after verbs, nouns, and adjectives to introduce a clause which shows what someone says or thinks, or states a fact or reason	no	no					
174	18thM10-7.1_0662a_Haydn	Haydn	NP0	NN0	proper name		no	no					
175	18thM10-7.1_0662a_Haydn	did	VDD	VV	aux		no	no					
176	18thM10-7.1_0662a_Haydn	not	XX0	XX0	negator		no	no					
177	18thM10-7.1_0662a_Haydn	have	VHI	VV	MM10_when something is available	MM3a_to be holding something or carrying something with you; MM3_have or have got used for showing possession	no	no					
178	18thM10-7.1_0662a_Haydn	the	AT0	AT0	def article		no	no					
179	18thM10-7.1_0662a_Haydn	texts	NN2	NN0	not really in MM; text that music is set to	MM1_the part of a book, magazine, or computer document that consists of writing and does not include pictures or notes	no	yes					
180	18thM10-7.1_0662a_Haydn	to	PRP	PRP	MM5_used for saying where someone or something is in relation to the position of another person or thing	MM2_going somewhere	WIDLII	no					
181	18thM10-7.1_0662a_Haydn	hand	NN1	NN0	MM phrase „to hand“_near where you are and therefore available to use	There is no more basic meaning	WIDLII	no					
182	18thM10-7.1_0662a_Haydn	when	CJS	CJC	MM3_used for talking about a particular time or situation	MM1_at what time or in what situation	no	no					
183	18thM10-7.1_0662a_Haydn	he	PNP	PNP	MM1_used for referring to a man, boy, or male animal when they have already been mentioned or when it is obvious which one you are referring to	There is no more basic meaning	no	no					
184	18thM10-7.1_0662a_Haydn	set	VVD	VV	MM does not have musical meaning; LM has phrase „set/put something to music“_ to write music so that the words of a poem, play etc can be sung	MM1_to put someone or something in a position	MRW-indirect	yes	physical structure			 the accompaniments often suffer from the fact that Haydn did not have the texts to hand when he set the melodies.	
185	18thM10-7.1_0662a_Haydn	the	AT0	AT0	def article		no	no					
186	18thM10-7.1_0662a_Haydn	melodies	NN2	NN0	MM1_MUSIC a tune or song, especially a simple one	There is no more basic meaning	no	yes					
187	18thM10-7.1_0662a_Haydn	._SENT	SENT	PUN			DFMA_Punct	no					
188	18thM10-7.1_0662a_Haydn	-----_PUN	PUN	PUN			DFMA_Punct	no					
